"id","trust","check","condition","region","insecure","need","depend","purchases_market","age","wives_cowives","num_children","literate","education","sell_milk_meat","sell_handcrafts","wage_labor","farming","sell_crops","own_business","teaching","hh_size","hh_labor","urban_travel","engai_christian_same","god_mind","god_body","god_omnipotent","god_omniscient","god_omnibenevolent","god_punish","god_reward","rituals_frequency","prayer_frequency","disagree_god_frequency","maasai_all_cattle","polygyny","moran_eating","cattle_raid","educate_children","educate_women","cattle_over_cash","belief_god_important","children_share_religious","others_share_religious","farming_good","female_circumcision","maasai_worry_future","god_comfort_safety","donkeys","chickens","cattle","goats","sheep","roof","solar","wealth","TLU","MI"
64,0,1,1,0,1.2,3.33333333333333,0.333333333333333,4,38,1,4,1,2,0,0,0,1,1,0,0,10,3,2,1,1,-1,1,1,1,-1,1,4,5,1,-1,-1,-1,-1,1,2,2,1,1,1,1,-1,1,2,5,3,15,23,10,0,0,1,16.33,0.694236703141574
65,0.5,NA,1,0,1.4,5.25,1,4,43,3,6,0,1,0,0,0,0,0,0,0,21,4,1,1,-1,-1,1,1,1,-1,-1,2,4,3,-1,1,-1,-1,1,1,0,2,1,1,1,-1,0,2,1,0,10,63,77,0,0,3,21.5,-0.104756944975327
66,1,NA,1,0,1.2,2.66666666666667,0.25,5,34,2,5,0,1,0,1,0,1,1,0,0,8,3,1,1,0,0,1,1,1,-1,1,2,4,1,-1,-2,-1,-1,1,1,2,1,1,1,1,1,-1,2,4,0,22,51,42,0,0,2,26.7,2.29222399937538
67,1,NA,1,0,1.2,4,0.333333333333333,4,49,3,12,0,1,0,0,0,1,1,0,0,16,4,2,1,0,0,1,1,1,0,-1,2,4,1,-1,1,-1,-1,2,2,1,1,2,1,1,2,-1,1,4,10,26,67,43,1,1,5,31.3,0.694236703141574
68,0,1,1,0,1.2,2.625,0.25,4,45,3,8,0,1,0,1,0,1,1,0,0,21,8,1,1,1,-1,1,1,1,-1,1,5,5,3,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,3,5,11,23,14,0,0,3,12.95,1.49323035125847
69,0.5,1,1,0,1.2,3.75,0.333333333333333,3,38,3,11,1,2,0,0,0,1,1,0,0,15,4,2,1,1,-1,1,1,1,1,1,2,4,1,-1,1,-1,-1,1,1,1,1,1,1,1,0,-1,1,6,0,36,110,50,1,1,5,44.2,-0.104756944975327
70,1,NA,1,0,1.2,1.66666666666667,0.333333333333333,4,54,1,4,1,2,1,0,0,1,1,0,0,5,3,2,1,1,1,1,1,1,1,1,4,5,3,-2,-1,-1,-1,1,2,1,1,2,1,1,-1,1,2,2,10,20,34,0,1,1,3,18.5,1.49323035125847
71,1,0,0,0,1.6,2.4,0.25,4,53,2,8,1,2,0,1,0,1,1,0,0,12,5,1,1,1,1,1,1,1,1,1,4,5,3,-1,1,-1,-2,2,1,1,1,1,1,2,-1,1,1,2,4,10,31,12,1,1,4,12.34,1.49323035125847
72,0,1,1,0,1.4,2.5,0.333333333333333,4,36,1,2,0,1,0,0,0,1,1,0,0,5,2,3,1,1,1,1,1,1,1,1,4,5,2,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,3,5,8,0,0,1,3.9,0.694236703141574
73,1,0,1,0,1.2,4.33333333333333,0.5,4,40,2,10,1,2,0,0,0,1,0,0,0,13,3,2,1,1,1,1,1,1,-1,-1,2,4,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,4,0,45,56,18,1,0,3,40.9,-0.104756944975327
74,1,0,0,0,1.6,4,0.25,4,33,1,3,0,1,1,0,0,1,1,0,0,5,2,3,1,1,1,1,1,1,1,1,2,4,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,2,0,10,17,0,0,0,1,9.7,1.49323035125847
75,0.5,1,0,0,1.2,3,0.333333333333333,4,49,2,11,0,1,0,0,0,1,1,0,0,15,5,2,1,1,0,1,1,1,1,1,2,4,1,1,1,-1,-1,1,1,1,1,1,1,1,1,0,1,2,0,10,15,10,0,0,2,10.5,0.694236703141574
76,0.5,1,1,0,1.6,3.85714285714286,0.333333333333333,3,51,3,4,0,1,0,0,0,1,1,0,0,27,7,1,-1,-1,-1,1,1,0,0,0,1,4,1,1,1,-1,1,1,1,2,1,1,1,1,1,2,1,1,0,4,13,0,0,0,3,4.6,-0.104756944975327
77,1,NA,0,0,1.6,2,0.333333333333333,4,29,1,2,0,1,0,0,0,1,1,0,0,4,2,1,1,1,1,1,1,1,0,1,1,4,1,-1,1,-1,-1,1,1,0,1,1,1,1,-1,1,1,1,15,3,10,3,0,0,1,4.05,0.694236703141574
78,1,1,0,0,1.2,4.5,0.333333333333333,4,34,1,4,1,2,0,0,0,1,1,0,0,9,2,1,1,1,0,1,1,1,1,1,2,4,1,-1,-1,-2,-1,1,1,0,1,1,1,2,1,-1,1,4,0,15,27,33,0,0,1,18.5,0.694236703141574
79,1,0,1,0,1.2,4.33333333333333,0.25,4,36,2,7,0,1,0,1,0,1,1,0,0,13,3,1,1,1,1,1,1,1,1,1,1,4,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-2,2,1,8,5,9,10,0,0,2,5.98,1.49323035125847
80,0.5,1,1,0,1.2,3.66666666666667,1,3,38,2,8,0,1,0,0,0,0,0,0,0,11,3,2,-1,0,0,1,1,1,1,1,1,4,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,7,0,81,105,72,0,0,2,77.9,-0.903750593092228
81,1,0,0,0,1.2,3.5,0.333333333333333,4,44,1,5,0,1,0,0,0,1,1,0,0,7,2,1,1,1,1,1,1,1,1,1,2,4,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,3,2,10,0,0,0,1,2.93,0.694236703141574
82,1,0,0,0,1.2,1,0.333333333333333,4,48,1,6,0,1,0,0,0,1,1,0,0,8,8,1,1,-1,-1,1,1,1,-1,1,4,5,3,-1,-1,-1,-1,1,1,0,2,1,1,1,-1,1,1,1,5,12,32,0,1,1,3,12.15,0.694236703141574
83,1,0,1,0,1.75,1.66666666666667,0.333333333333333,4,64,1,3,1,2,0,0,0,1,1,0,0,5,3,1,1,1,-1,1,1,1,-1,1,4,5,4,-1,-1,-1,-1,2,2,1,2,1,1,2,-1,1,2,2,10,3,14,7,0,0,1,5.3,0.694236703141574
84,1,0,0,0,1.2,3,0.333333333333333,4,31,2,3,0,1,0,0,0,1,1,0,0,9,3,1,1,1,1,1,1,1,-1,1,4,5,5,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,2,7,4,8,0,1,1,4,4.67,0.694236703141574
85,0,1,0,1,1.4,1.5,0.2,4,20,4,1,1,2,1,0,1,0,1,1,0,3,2,1,0,-1,0,1,1,1,1,1,1,4,1,1,2,-2,-2,1,-1,0,2,2,1,2,2,0,1,4,0,5,3,7,0,0,4,6.5,1.49323035125847
86,0,1,0,1,1.2,2,0.5,3,25,6,4,1,2,0,0,0,1,0,0,0,4,2,1,-1,-1,-1,1,1,1,1,1,2,2,1,2,1,-2,2,1,0,2,2,2,1,1,2,-2,2,1,1,1,1,1,0,0,6,1.41,-0.903750593092228
87,1,0,0,1,0.6,2.5,0.5,3,27,1,3,0,1,0,0,0,1,0,0,0,5,2,1,-1,1,-1,1,1,1,0,1,2,5,1,1,2,-1,0,2,2,2,1,2,2,2,1,0,1,1,3,4,5,5,0,0,1,4.33,-0.903750593092228
88,0,1,0,1,1.2,1,0.333333333333333,2,68,2,11,0,1,0,0,1,1,0,0,0,5,5,1,0,1,-1,1,0,1,0,0,1,5,1,2,1,0,-2,2,0,1,2,-2,1,0,2,-2,-1,17,0,70,80,40,0,0,2,69.5,-1.70274424120913
89,0,1,0,1,0.8,1.25,0.166666666666667,3,65,3,10,0,1,1,0,0,1,1,1,1,5,4,3,1,1,-1,1,1,1,0,1,4,5,1,0,2,2,-2,2,-1,0,1,2,1,-1,2,-2,2,3,7,5,4,4,0,0,3,5.87,0.694236703141574
